# IPBES South_America
# Argentina
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
-73.50127031 -50.12531219
-73.50770403 -50.03027923
-73.5289172 -49.91090667
-73.47041948 -49.79458302
-73.50452593 -49.69799977
-73.57625281 -49.58291636
-73.55418698 -49.46385386
-73.48364865 -49.39770802
-73.46158281 -49.31388885
-73.13527198 -49.30065968
-73.14888872 -49.18800506
-73.09457679 -49.09684783
-73.03365028 -49.01432057
-72.9817413 -48.97680348
-72.86544349 -48.94398895
-72.7284751 -48.8962916
-72.65129635 -48.84161793
-72.61439938 -48.79283538
-72.5917651 -48.72968678
-72.58592567 -48.66250742
-72.60840491 -48.5193637
-72.58287676 -48.47543873
-72.49815325 -48.41735442
-72.35475115 -48.36583302
-72.29302365 -48.22909718
-72.32829281 -48.11003468
-72.40792619 -48.01588022
-72.50908281 -47.97335052
-72.51791948 -47.87635386
-72.47221168 -47.78421478
-72.41257707 -47.68551279
-72.34152198 -47.57208302
-72.34594031 -47.49270802
-72.28289507 -47.44625091
-72.10339698 -47.34274302
-72.04166948 -47.24135386
-71.97852088 -47.21386199
-71.90495948 -47.20166636
-71.90054114 -47.14430552
-71.95423296 -47.08746144
-71.96296627 -47.01599293
-71.95666175 -46.93682464
-71.94022864 -46.83124969
-71.85646115 -46.79156219
-71.73269609 -46.70583099
-71.69967485 -46.65136403
-71.69520484 -46.57839691
-71.73130083 -46.42786346
-71.76209998 -46.31980804
-71.77765459 -46.28001719
-71.83413693 -46.20674
-71.87565894 -46.16059295
-71.80928057 -46.10271535
-71.68448198 -46.04189219
-71.63156531 -45.95368052
-71.68006365 -45.87874969
-71.75062781 -45.83906219
-71.77266781 -45.72439219
-71.74620948 -45.57887135
-71.69329281 -45.53479136
-71.50808448 -45.51272552
-71.49043698 -45.43774302
-71.34933448 -45.33190968
-71.35375281 -45.23052052
-71.4434631 -45.16825042
-71.5312872 -45.06789479
-71.59627031 -44.97916636
-71.81235531 -44.93064219
-72.04166948 -44.90418385
-72.07252031 -44.82041636
-72.06370948 -44.77189219
-71.95704932 -44.79147755
-71.78282223 -44.77437265
-71.65166745 -44.77044525
-71.56040687 -44.76197031
-71.45516781 -44.74982635
-71.35814531 -44.78512135
-71.26114865 -44.76305552
-71.22146115 -44.63076385
-71.15970781 -44.56022552
-71.15089698 -44.49407969
-71.21262448 -44.44116302
-71.32571835 -44.42493662
-71.82000342 -44.38307871
-71.8350671 -44.33016204
-71.83077796 -44.24138193
-71.81212277 -44.15074147
-71.81235531 -44.10604136
-71.76721595 -44.06671559
-71.71615963 -43.98444671
-71.68006365 -43.92961802
-71.71595293 -43.85835622
-71.79470781 -43.75324635
-71.73739865 -43.70472218
-71.73277361 -43.64674122
-71.75062781 -43.59010386
-71.83243161 -43.52716196
-71.90495948 -43.44013885
-71.90495948 -43.34753468
-71.82023597 -43.32298838
