# IPBES Oceania
# Australia
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
137.56641483 -35.14803517
137.45954797 -35.13134368
137.27237593 -35.17867929
137.14442508 -35.23645355
137.02991011 -35.2365569
136.9665548 -35.25490203
136.88356245 -35.23976084
137.01420047 -34.91585296
137.12840539 -34.92474131
137.25201542 -34.91151214
137.30844608 -34.91693817
137.39102502 -34.91332081
137.45427697 -34.76444101
137.49293094 -34.59778452
137.46853967 -34.49019419
137.4590312 -34.37888315
137.48362919 -34.25217254
137.49386112 -34.16117034
137.65033736 -33.85906992
137.78087202 -33.70311045
137.93187056 -33.57908701
137.91399051 -33.4613681
137.86603478 -33.31409026
137.85228885 -33.20081553
137.9243258 -33.16515879
137.99253869 -33.09420705
137.91316369 -32.7706609
137.8631409 -32.67371592
137.78314579 -32.57816619
137.7818022 -32.70193125
137.79089725 -32.82321583
137.68020633 -32.97798675
137.53623579 -33.08919443
137.44228804 -33.19358082
137.3542314 -33.43015553
137.23733931 -33.62952321
137.13026574 -33.70300709
137.03445764 -33.71949188
136.93658247 -33.75023935
136.78351688 -33.82966603
136.63551558 -33.89658701
136.52585819 -33.98423024
136.4306702 -34.03001556
136.12112837 -34.42875091
135.9796383 -34.5618694
135.95059614 -34.61571624
135.89106489 -34.6609848
135.90264042 -34.72382334
135.95059614 -34.76681813
135.99855187 -34.94375823
135.96971642 -34.98179209
135.91917687 -34.96194834
135.79236291 -34.86324635
135.71247114 -34.89926483
135.64756555 -34.93962412
135.48085738 -34.75823984
135.41171431 -34.71550343
135.32417443 -34.64263966
135.23064009 -34.57974944
135.19084924 -34.57266977
