# IPBES Caribbean
# Antigua and Barb.
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
-71.7464937 19.28585155
-71.64722327 19.19596039
-71.64531125 19.1635076
-71.6570418 19.13074474
-71.74204953 19.04550446
-71.80711015 18.98700674
-71.78638791 18.92003408
-71.73362627 18.85639456
-71.72706336 18.80321951
-71.74321225 18.73288788
-71.82424089 18.64552888
-71.86648638 18.61416128
-71.98686662 18.61033723
-72.00038001 18.59788321
-71.94038367 18.51261709
-71.87258419 18.41621471
-71.76189328 18.34130972
-71.73724362 18.27082307
-71.76375363 18.20395376
-71.76832699 18.03915762
-71.85294715 18.11915274
-71.94611976 18.18607372
-72.0020595 18.21201529
-72.05983375 18.22855174
-72.50355343 18.21992178
-72.55324032 18.2083721
-72.59189429 18.18690054
-72.63328712 18.17620352
-72.7552435 18.1561789
-72.87665727 18.15176057
-73.16007667 18.20560741
-73.2722662 18.23353852
-73.38512753 18.25118602
-73.51483537 18.24534658
-73.64402646 18.22904267
-73.74732764 18.19020783
-73.8247131 18.12178823
-73.8391825 18.05822622
-73.88496782 18.04189647
-73.98943173 18.14318228
-74.08539486 18.21511587
-74.19463884 18.26919526
-74.41901791 18.34619314
-74.45997148 18.3930895
-74.47810991 18.44998526
-74.38752112 18.62470327
-74.28445248 18.65669099
-74.22771176 18.66268545
-74.10032935 18.64113638
-73.97599586 18.60142304
-73.86248857 18.57545563
-73.68702125 18.56535289
-73.59157488 18.52238394
-72.91727495 18.45572134
-72.78934994 18.43481822
-72.73943051 18.44213044
-72.69597063 18.46822704
-72.65977129 18.51533011
-72.61804257 18.55078014
-72.41810645 18.55871247
-72.37609351 18.57447378
-72.3467413 18.62372142
-72.34764564 18.67493277
-72.46520952 18.74353323
-72.64912594 18.89411835
-72.81107988 19.07160106
-72.74121335 19.13136485
-72.7679559 19.24063467
-72.74180762 19.34184296
-72.70320533 19.44106171
-72.86342811 19.52606944
-73.05274472 19.61076712
-73.31551938 19.6373288
-73.39634132 19.65869701
-73.43835425 19.72212983
-73.40052711 19.80739594
-73.31531267 19.85457652
-73.21779924 19.88367036
-73.11777951 19.90382416
-72.87652808 19.92808625
-72.63703366 19.90085277
-72.42991452 19.81326122
-72.21984982 19.74463491
-71.95431047 19.72166474

-72.66406043 20.03748526
-72.62346859 20.01415335
-72.63884233 19.9858605
-72.73979224 20.00343049
-72.84425615 20.03546988
-72.87844011 20.02746003
-72.89934323 20.03143911
-72.96034726 20.06223827
-72.9067588 20.0858544
-72.85146501 20.0936317
-72.79102943 20.09190054
-72.66406043 20.03748526


# Jamaica
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
-77.26148007 18.45742666
-77.13954953 18.42151154
-77.01379493 18.40293386
-76.95935381 18.4018745
-76.90821998 18.39042817
-76.79329159 18.30428356
-76.7007391 18.25718049
-76.34985613 18.15186392
-76.23275733 17.97032461
-76.21079485 17.91353221
-76.30143531 17.87983918
-76.41553687 17.86821198
-76.52462582 17.86622244
-76.62539486 17.90097484
-76.66937151 17.92763988
-76.77432634 17.94045563
-76.74828142 17.96487275
-76.79484189 17.97631908
-76.85323625 17.97370942
-76.89625688 17.9041271
-76.9441351 17.84878164
-77.03596412 17.85410432
-77.0713108 17.9012849
-77.11947323 17.88009756
-77.15841142 17.84506094
-77.20499773 17.71493968
-77.27987688 17.77956106
-77.36144813 17.83371796
-77.46387082 17.85606802
-77.67075741 17.85973705
-77.76816749 17.87738455
-77.84940284 17.98748119
-77.88131304 18.01902965
-77.96298764 18.04758088
-78.04448137 18.17385224
-78.07362688 18.19116385
-78.29407854 18.21806143
-78.33950212 18.28720449
-78.3259629 18.34975882
-78.25245317 18.42626577
-78.21671892 18.44809907
-78.09450416 18.44481761
-77.97815467 18.46783946
-77.92686581 18.50070567
-77.87343238 18.52222891
-77.45159766 18.46703848
-77.35423926 18.4664442
-77.26148007 18.45742666


# St. Kitts and Nevis
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
-62.53222409 17.12184927
-62.58242774 17.10061026
-62.62493161 17.1295749
-62.61526811 17.19910554
-62.57470211 17.2010434
-62.53416195 17.1701409
-62.53222409 17.12184927

-62.63069353 17.23998159
-62.65648007 17.22442699
-62.70200701 17.2860253
-62.77554257 17.30282014
-62.83889787 17.33925202
-62.84047401 17.34705516
-62.83941464 17.36532278
-62.82703813 17.38640677
-62.79461117 17.40260733
-62.71373756 17.35325633
-62.67580705 17.29093456
-62.64051205 17.26227997
-62.63069353 17.23998159


# Anguilla
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
-63.00121355 18.22178213
-63.16001522 18.17139761
-63.15334897 18.20028474
-63.02601824 18.26973786
-62.97956112 18.26477692
-63.00121355 18.22178213


# Saint Lucia
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
-60.89521807 13.82199901
-60.95141619 13.71756094
-61.06063432 13.78308666
-61.07311418 13.86556224
-61.06355404 13.91558503
-60.9966589 14.01092805
-60.94456906 14.07283641
-60.9080855 14.09335196
-60.88676897 14.01113475
